"File","Name","Nd","Vd","dPgF","Density"
"CDGM-ZEMAX202409.txt","H-FK55","1.5502","75.224681","0.0229","4.11"
"CDGM-ZEMAX202409.txt","H-FK61","1.497","81.612838","0.0312","3.7"
"CDGM-ZEMAX202409.txt","H-FK61B","1.497","81.605419","0.031","3.68"
"CDGM-ZEMAX202409.txt","H-FK71","1.4565","90.273821","0.0429","3.63"
"CDGM-ZEMAX202409.txt","H-FK95N","1.4378","94.523389","0.0487","3.52"
"CDGM-ZEMAX202409.txt","H-QK1","1.47047","66.876032","0.0005","2.3"
"CDGM-ZEMAX202409.txt","H-QK3L","1.48749","70.440487","0.0035","2.43"
"CDGM-ZEMAX202409.txt","H-K1","1.49967","62.071979","0.0006","2.47"
"CDGM-ZEMAX202409.txt","H-K2","1.50047","66.020774","-0.001","2.42"
"CDGM-ZEMAX202409.txt","H-K3","1.50463","64.720718","-0.0025","2.4"
"CDGM-ZEMAX202409.txt","K4A","1.50802","61.052897","-0.0028","2.43"
"CDGM-ZEMAX202409.txt","H-K5","1.510072","63.364525","0.0012","2.47"
"CDGM-ZEMAX202409.txt","H-K6","1.511125","60.478905","0","2.53"
"CDGM-ZEMAX202409.txt","H-K7","1.51478","60.634896","0.0001","2.54"
"CDGM-ZEMAX202409.txt","H-K8","1.51602","56.794825","-0.0024","2.58"
"CDGM-ZEMAX202409.txt","H-K9L","1.5168","64.198732","-0.0005","2.52"
"CDGM-ZEMAX202409.txt","H-K9LGT","1.5168","64.198732","-0.0005","2.52"
"CDGM-ZEMAX202409.txt","H-K9L*","1.5168","64.198732","-0.0005","2.52"
"CDGM-ZEMAX202409.txt","H-K9LA","1.5168","64.198695","-0.0013","2.51"
"CDGM-ZEMAX202409.txt","H-K9LAGT","1.5168","64.198695","-0.0013","2.51"
"CDGM-ZEMAX202409.txt","H-K10","1.51818","58.949331","0","2.5"
"CDGM-ZEMAX202409.txt","H-K11","1.52638","60.15737","0.0005","2.69"
"CDGM-ZEMAX202409.txt","H-K12","1.533589","55.469983","-0.0023","2.72"
"CDGM-ZEMAX202409.txt","H-K50","1.52249","59.480754","-0.0003","2.52"
"CDGM-ZEMAX202409.txt","H-K51","1.52307","58.639792","-0.0007","2.53"
"CDGM-ZEMAX202409.txt","H-ZPK1A","1.618","63.392702","0.0054","3.61"
"CDGM-ZEMAX202409.txt","H-ZPK2A","1.603001","65.45962","0.0065","3.5"
"CDGM-ZEMAX202409.txt","H-ZPK3","1.59349","67.285372","0.0057","3.36"
"CDGM-ZEMAX202409.txt","H-ZPK5","1.5928","68.342024","0.0154","4.29"
"CDGM-ZEMAX202409.txt","H-ZPK7","1.56907","71.304254","0.02","4.36"
"CDGM-ZEMAX202409.txt","H-BAK1","1.53028","60.466139","0","2.74"
"CDGM-ZEMAX202409.txt","H-BAK2","1.53996","59.724182","0.0004","2.84"
"CDGM-ZEMAX202409.txt","H-BAK3","1.54678","62.776077","-0.0014","2.84"
"CDGM-ZEMAX202409.txt","H-BAK4","1.55248","63.36549","-0.0009","2.9"
"CDGM-ZEMAX202409.txt","H-BAK5","1.56069","58.344731","-0.0007","3.01"
"CDGM-ZEMAX202409.txt","H-BAK6","1.56388","60.764747","-0.0006","3.05"
"CDGM-ZEMAX202409.txt","H-BAK7","1.56883","56.041308","-0.0007","2.83"
"CDGM-ZEMAX202409.txt","H-BAK7GT","1.56883","56.041308","-0.0007","2.83"
"CDGM-ZEMAX202409.txt","H-BAK8","1.5725","57.486797","-0.001","3.18"
"CDGM-ZEMAX202409.txt","H-ZK1","1.56888","62.95699","-0.0011","3.06"
"CDGM-ZEMAX202409.txt","H-ZK2","1.58313","59.460082","-0.0016","3.24"
"CDGM-ZEMAX202409.txt","H-ZK3","1.58913","61.253571","-0.0017","3.26"
"CDGM-ZEMAX202409.txt","H-ZK3A","1.58913","61.2531","-0.0013","3.31"
"CDGM-ZEMAX202409.txt","H-ZK4","1.60881","58.855991","-0.001","3.53"
"CDGM-ZEMAX202409.txt","H-ZK5","1.61117","55.772437","-0.001","3.58"
