"Name","Series","Family","Number","Suffix","Dash","At","Star","File","Nd","Vd"
"H-FK55","H","FK","55","",,,,"CDGM-ZEMAX202409.txt","1.5502","75.224681"
"H-FK61","H","FK","61","",,,,"CDGM-ZEMAX202409.txt","1.497","81.612838"
"H-FK61B","H","FK","61","B",,,,"CDGM-ZEMAX202409.txt","1.497","81.605419"
"H-FK71","H","FK","71","",,,,"CDGM-ZEMAX202409.txt","1.4565","90.273821"
"H-FK95N","H","FK","95","N",,,,"CDGM-ZEMAX202409.txt","1.4378","94.523389"
"H-QK1","H","QK","1","",,,,"CDGM-ZEMAX202409.txt","1.47047","66.876032"
"H-QK3L","H","QK","3","L",,,,"CDGM-ZEMAX202409.txt","1.48749","70.440487"
"H-K1","H","K","1","",,,,"CDGM-ZEMAX202409.txt","1.49967","62.071979"
"H-K2","H","K","2","",,,,"CDGM-ZEMAX202409.txt","1.50047","66.020774"
"H-K3","H","K","3","",,,,"CDGM-ZEMAX202409.txt","1.50463","64.720718"
"K4A",,"K","4","A",,,,"CDGM-ZEMAX202409.txt","1.50802","61.052897"
"H-K5","H","K","5","",,,,"CDGM-ZEMAX202409.txt","1.510072","63.364525"
"H-K6","H","K","6","",,,,"CDGM-ZEMAX202409.txt","1.511125","60.478905"
"H-K7","H","K","7","",,,,"CDGM-ZEMAX202409.txt","1.51478","60.634896"
"H-K8","H","K","8","",,,,"CDGM-ZEMAX202409.txt","1.51602","56.794825"
"H-K9L","H","K","9","L",,,,"CDGM-ZEMAX202409.txt","1.5168","64.198732"
"H-K9LGT","H","K","9","LGT",,,,"CDGM-ZEMAX202409.txt","1.5168","64.198732"
"H-K9L*","H","K","9","L",,,"*","CDGM-ZEMAX202409.txt","1.5168","64.198732"
"H-K9LA","H","K","9","LA",,,,"CDGM-ZEMAX202409.txt","1.5168","64.198695"
"H-K9LAGT","H","K","9","LAGT",,,,"CDGM-ZEMAX202409.txt","1.5168","64.198695"
"H-K10","H","K","10","",,,,"CDGM-ZEMAX202409.txt","1.51818","58.949331"
"H-K11","H","K","11","",,,,"CDGM-ZEMAX202409.txt","1.52638","60.15737"
"H-K12","H","K","12","",,,,"CDGM-ZEMAX202409.txt","1.533589","55.469983"
"H-K50","H","K","50","",,,,"CDGM-ZEMAX202409.txt","1.52249","59.480754"
"H-K51","H","K","51","",,,,"CDGM-ZEMAX202409.txt","1.52307","58.639792"
"H-ZPK1A","H","ZPK","1","A",,,,"CDGM-ZEMAX202409.txt","1.618","63.392702"
"H-ZPK2A","H","ZPK","2","A",,,,"CDGM-ZEMAX202409.txt","1.603001","65.45962"
"H-ZPK3","H","ZPK","3","",,,,"CDGM-ZEMAX202409.txt","1.59349","67.285372"
"H-ZPK5","H","ZPK","5","",,,,"CDGM-ZEMAX202409.txt","1.5928","68.342024"
"H-ZPK7","H","ZPK","7","",,,,"CDGM-ZEMAX202409.txt","1.56907","71.304254"
"H-BAK1","H","BAK","1","",,,,"CDGM-ZEMAX202409.txt","1.53028","60.466139"
"H-BAK2","H","BAK","2","",,,,"CDGM-ZEMAX202409.txt","1.53996","59.724182"
"H-BAK3","H","BAK","3","",,,,"CDGM-ZEMAX202409.txt","1.54678","62.776077"
"H-BAK4","H","BAK","4","",,,,"CDGM-ZEMAX202409.txt","1.55248","63.36549"
"H-BAK5","H","BAK","5","",,,,"CDGM-ZEMAX202409.txt","1.56069","58.344731"
"H-BAK6","H","BAK","6","",,,,"CDGM-ZEMAX202409.txt","1.56388","60.764747"
"H-BAK7","H","BAK","7","",,,,"CDGM-ZEMAX202409.txt","1.56883","56.041308"
"H-BAK7GT","H","BAK","7","GT",,,,"CDGM-ZEMAX202409.txt","1.56883","56.041308"
"H-BAK8","H","BAK","8","",,,,"CDGM-ZEMAX202409.txt","1.5725","57.486797"
"H-ZK1","H","ZK","1","",,,,"CDGM-ZEMAX202409.txt","1.56888","62.95699"
"H-ZK2","H","ZK","2","",,,,"CDGM-ZEMAX202409.txt","1.58313","59.460082"
"H-ZK3","H","ZK","3","",,,,"CDGM-ZEMAX202409.txt","1.58913","61.253571"
"H-ZK3A","H","ZK","3","A",,,,"CDGM-ZEMAX202409.txt","1.58913","61.2531"
"H-ZK4","H","ZK","4","",,,,"CDGM-ZEMAX202409.txt","1.60881","58.855991"
"H-ZK5","H","ZK","5","",,,,"CDGM-ZEMAX202409.txt","1.61117","55.772437"
"H-ZK6","H","ZK","6","",,,,"CDGM-ZEMAX202409.txt","1.61272","58.577083"
"H-ZK7A","H","ZK","7","A",,,,"CDGM-ZEMAX202409.txt","1.61309","60.355862"
"H-ZK8","H","ZK","8","",,,,"CDGM-ZEMAX202409.txt","1.61405","55.116283"
"H-ZK9B","H","ZK","9","B",,,,"CDGM-ZEMAX202409.txt","1.62041","60.339343"
"H-ZK9A","H","ZK","9","A",,,,"CDGM-ZEMAX202409.txt","1.620412","60.368242"
"H-ZK10","H","ZK","10","",,,,"CDGM-ZEMAX202409.txt","1.6221","56.709831"
"H-ZK10L","H","ZK","10","L",,,,"CDGM-ZEMAX202409.txt","1.6228","56.913492"
"H-ZK11","H","ZK","11","",,,,"CDGM-ZEMAX202409.txt","1.63854","55.446553"
"H-ZK14","H","ZK","14","",,,,"CDGM-ZEMAX202409.txt","1.60311","60.603787"
"H-ZK20","H","ZK","20","",,,,"CDGM-ZEMAX202409.txt","1.6172","53.913743"
"H-ZK21","H","ZK","21","",,,,"CDGM-ZEMAX202409.txt","1.62299","58.120667"
"H-ZK50","H","ZK","50","",,,,"CDGM-ZEMAX202409.txt","1.60738","56.654511"
"H-ZK50GT","H","ZK","50","GT",,,,"CDGM-ZEMAX202409.txt","1.60738","56.654511"
"H-LAK1","H","LAK","1","",,,,"CDGM-ZEMAX202409.txt","1.6595","57.34726"
"H-LAK2A","H","LAK","2","A",,,,"CDGM-ZEMAX202409.txt","1.69211","54.539198"
"H-LAK3","H","LAK","3","",,,,"CDGM-ZEMAX202409.txt","1.74693","50.950085"
"H-LAK4L","H","LAK","4","L",,,,"CDGM-ZEMAX202409.txt","1.64","60.202769"
"H-LAK5A","H","LAK","5","A",,,,"CDGM-ZEMAX202409.txt","1.6779","55.51497"
"H-LAK6A","H","LAK","6","A",,,,"CDGM-ZEMAX202409.txt","1.6935","53.380441"
"H-LAK7A","H","LAK","7","A",,,,"CDGM-ZEMAX202409.txt","1.713","53.832974"
"H-LAK8B","H","LAK","8","B",,,,"CDGM-ZEMAX202409.txt","1.72","50.280736"
